년도	가수	제목	남녀	장르	최고순위	작사가	작곡가	소속사	가사
20100121	2AM	죽어도 못 보내	Male	발라드	1	방시혁	방시혁	JYP Entertainment	어려도 아픈 건 똑같아 세상을 잘 모른다고 아픈걸 모르진 않아 괜찮아 질 거라고 왜 거짓말을 해 이렇게 아픈 가슴이 어떻게 쉽게 낫겠어 너 없이 어떻게 살겠어 그래서 난 죽어도 못 보내 내가 어떻게 널 보내 가려거든 떠나려거든 내 가슴 고쳐내 아프지 않게 나 살아갈 수 라도 있게 안 된다면 어차피 못살 거 죽어도 못 보내 아무리 니가 날 밀쳐도 끝까지 붙잡을 거야 어디도 가지 못하게 정말 갈 거라면 거짓말을 해 내일 다시 만나자고 웃으면서 보자고 헤어지잔 말은 농담이라고 아니면 난 죽어도 못 보내 내가 어떻게 널 보내 가려거든 떠나려거든 내 가슴 고쳐내 아프지 않게 나 살아갈 수 라도 있게 안 된다면 어차피 못살 거 죽어도 못 보내 그 많은 시간을 함께 겪었는데 이제와 어떻게 혼자 살란 거야 그렇겐 못해 난 못해 죽어도 못 보내 정말로 못 보내 내가 어떻게 널 보내 가려거든 떠나려거든 내 가슴 고쳐내 아프지 않게 나 살아갈 수 라도 있게 안 된다면 어차피 못 살거 죽어도 못 보내
20100114	씨엔블루	외톨이야	Male	록/메탈	1	한성호, 에이맨	김도훈, 이상호	FNC엔터테인먼트	외톨이야 외톨이야 외톨이야 외톨이야 봐봐 나를 봐봐 똑바로 내 두 눈을 봐 거봐 이미 너는 딴 곳을 보고 있어 Check it One Two Three 시계 바늘만 쳐다 보는게 말 안해도 다른 사람 생긴걸 알아요즘 넌 나 아닌 다른 사람과 만남이 잦더라 이제는 먼저 전화도 걸지 않더라 나랑 있을 때는 하루가 1초라도 넌 내 앞에서 요즘 하늘만 보더라 Oh I know your mind 이미 너와 나의 거리 멀어진 그리고 벌어진 남보다 못한 우리 사이 Oh baby 외톨이야 외톨이야 daridiridara du 외톨이야 외톨이야 daridiridara du 외톨이야 외톨이야 사랑에 슬퍼하고 사랑에 눈물짓는 외톨이 Sad Sad Sad Sad Sad Sad Sad Tonight 가슴이 아파 Oh no no no no Nobody knows 마음 몰라 One Two Three Four Five Six Seven Eight Night 수 많은 밤을 세우며 나를 달래고 있어 차라리 다른 사람 생겼다고 내가 싫으면 싫다고 차라리 솔직하게 말해줬다면 난 너를 죽도록 미워하진 않았을 텐데 Check it One Two Three 네 말을 되새겨 봐도 이리 저리 둘러대는 거짓말이야 Oh baby 외톨이야 외톨이야 daridiridara du 외톨이야 외톨이야 daridiridara du 외톨이야 외톨이야 사랑에 슬퍼하고 사랑에 눈물짓는 외톨이 Sad Sad Sad Sad Sad Sad Sad Tonight 가슴이 아파 Oh no no no no Nobody knows 마음 몰라 One Two Three Four Five Six Seven Eight Night 수 많은 밤을 세우며 나를 달래고 있어  사랑이 가네 사랑이 떠나네 한 사람을 그리고 한 사랑을 내게는 익숙했던 모든 것들을 이 밤이 가면 널 지워야겠지 그래 나 억지로라도 너를 지워야겠지 날 버린 널 생각하면 그래야겠지 Gone Gone My love is Gone 외톨이야 외톨이야 daridiridara du 외톨이야 외톨이야 daridiridara du 외톨이야 외톨이야 사랑에 아파하고 사랑을 기다리는 외톨이 Sad Sad Sad Sad Sad Sad Sad Tonight 꿈이길 원해 Oh no no no no Nobody knows 날 몰라 One Two Three Four Five Six Seven Eight Night 수 많은 밤을 세우며 눈물 흘리고 있어
20100128	소녀시대	Oh!	Female	댄스	1	김정배, 김영후	KENZIE	SM Entertainment	전에 알던 내가 아냐 Brand New Sound 새로워진 나와 함께 One More Round Dance Dance Dance till we run this town 오빠 오빠 I'll be I'll be Down Down Down Down 오빠 나좀 봐 나를 좀 바라봐 처음이야 이런 내 말투 Ha! 머리도 하고 화장도 했는데 왜 너만 너만 모르니 두근 두근 가슴이 떨려와요 자꾸 자꾸 상상만 하는 걸요 어떻게 하나 콧대 높던 내가 말하고 싶어 Oh Oh Oh 오빠를 사랑해 Ah Ah Ah Ah 많이 많이해 수줍으니 제발 웃지 마요 진심 이니 놀리지도 말아요 또 바보같은 말뿐야  전에 알던 내가 아냐 Brand New Sound 새로워진 나와 함께 One More Round Dance Dance Dance till we run this town 오빠 오빠 I'll be I'll be Down Down Down Down 오빠 잠깐만 잠깐만 들어봐 자꾸 딴 얘기는 말고 동생으로만 생각하진 말아 일년뒤면 후회 할 걸 몰라 몰라 내 맘을 전혀 몰라 눈치없게 장난만 치는걸요 어떻게 하나 이 철없는 사람아 들어봐 정말  Oh Oh Oh 오빠를 사랑해 Ah Ah Ah Ah 많이 많이 해 수줍으니 제발 웃지 마요 진심이니 놀리지도 말아요 또 그러면 난 울지도 몰라 전에 알던 내가 아냐 Brand New Sound 뭔가 다른 오늘만은 뜨거운 마음 다음 다음 미루지 마 화만 나 오빠 오빠 이대로는 No No No No Tell me boy boy love it it it it it it it ah! Oh Oh Oh 오빠를 사랑해 Ah Ah Ah Ah 많이 많이해 Oh Oh Oh Oh Oh Oh Oh 오빠를 사랑해 Ah Ah Ah Ah Ah Ah Ah Ah 많이 많이해 또 바보 같은 말뿐야 Oh Oh Oh Oh Ah Ah Ah Ah Oh Oh Oh Oh Oh Oh Oh 오빠를 사랑해 Ah Ah Ah Ah Ah Ah Ah Ah 많이 많이해 Oh Oh Oh Oh Oh Oh Oh 오빠를 사랑해 Ah Ah Ah Ah Ah Ah Ah Ah 많이 많이 Oh
20100104	현아	Change	Female	댄스	5	신사동호랭이, 전혜원	신사동호랭이, 전혜원	큐브엔터테인먼트	yeah, this, I'm bring it bring it let let's go   uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh change change change change change  다 똑같은 것 말고 나를 위한 slogan 다 비슷한 생각들 말고 나를 위한 logo what you want? (what you do) tell me baby what you do 언제나 눈치 보지 말고 step step swagger  (I can change) 아무리 어려도 (you can change) 누가 뭐라 해도 (we can change) 모두 내 맘대로 pop pop pop ma collar (do it up) 신경 쓰지 말고 (take it on) 모두 하늘 위로 (jumping up) do it do it do it better  (ch ch ch change) boy boy boy 생각대로 change (ch ch ch change) girls girls girls 나를 따라 change (모두 다 change) 모두 다 change (모든 걸 change) 모든 걸 change (이제는 change) 이제는 change I'm gonna change change change change change  1, 2, 3 Ha~ let's get let's get let's movin' let's get let's get let's get started you you you you ready? yeah~ we just burn it!  자꾸만 시간이 가 괜한 걱정만 늘어가 왜 난 이렇게 지냈는지 뻔한 말들만 늘어놔 all night  고민 고민 이제 그만해 왜 이리 왜 이리 피하기만 해 더는 더는 속이지 말고 show me what you got  (I can change) 아직은 몰라도 (you can change) 누가 날 막아도 (we can change) 모두 내 멋대로 pop pop pop ma collar (do it up) 눈치보지 말고 (take it on) 모두 손을 위로 (jumping up) do it do it do it better  (ch ch ch change) boy boy boy 생각대로 change (ch ch ch change) girls girls girls 나를 따라 change (모두 다 change) 모두 다 change (모든 걸 change) 모든 걸 change (이제는 change) 이제는 change I'm gonna change change change change change  나는 달라 하나 하나 원하는 걸 내가 내가 change 지금부터 I can change 이제부터 you can change 모든 걸 다 we can change change change  uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh uh uh uh uh change uh uh uh uh uh uh  (ch ch ch change) boy boy boy 생각대로 change (ch ch ch change) girls girls girls 나를 따라 change (모두 다 change) 모두 다 change (모든 걸 change) 모든 걸 change (이제는 change) 이제는 change I'm gonna change change change change change
20100121	2AM	웃어 줄 수 없어서 미안하다	Male	발라드	6	슈퍼창따이	슈퍼창따이	JYP Entertainment	헤. 어. 지. 자 오늘 무슨 말이라도 내게 하지 말아줘 장난스런 너의 말도 받아줄 수가 없어 사랑하냐는 그 말도 이젠 묻지 말아줘 넌 믿을 수가 없겠지만 나 헤어지려 해 오 힘들때면 안아주던 아플때도 감싸주던 그랬던 내가 그랬던 내가 너와 더이상 웃어줄 수가 없어서 미안하다 미안하다 우리 그만 헤어지자 웃어줄 수가 없어서 미안하다 미안하다 우리 그만 헤어지자 헤. 어. 지. 자 헤. 어. 지. 자 헤. 어. 지. 자 미안해 너를 보내고서 나도 많이 힘들었었어 이젠 너 없이 혼자서 나도 살아보려 해 잘지내냐는 그 말도 이젠 묻지 말아줘 넌 믿을 수가 없겠지만 나 아주 잘 지내 오 힘들때면 안아주던 아플때도 감싸주던 그랬던 내가 그랬던 내가 널 잊어보려 해 울어줄 수도 없어서 미안하다 미안하다 우리 마주치지 말자 울어줄 수가 없어서 미안하다 미안하다 우리 마주치지 말자 아닌데 이게 난 아닌데 아직도 널 사랑하는데 웃어줄 수가 없어서 미안하다 미안하다 우리 그만 헤어지자 헤. 어. 지. 자
20100118	포맨	못해 (Feat. 美)	Male	발라드	7	민연재	윤민수	YWHO Enterprise	이제는 밥을 먹어도 눈물없이는 삼키지 못해 억지로 먹고 먹어도 속이 늘 허전해 노랠 들어도 흥얼대지도 못해 영화를 봐도 내가 뭘 본건지 기억못해  *밥도 잘 먹지못해 니가 생각날까봐 니 생각에 체할까봐 니가 떠난후로 오늘도 눈물로 하루를 먹고 살아 버스도 타지못해 누가 날 욕할까봐 우는 날 놀려댈까봐 아무것도 못해 너없인 나혼자 살지못해  이제는 술을 마셔도 눈물없이는 마시질못해 아무리 병을 비워도 너만 더 생각해 살아서 뭐해 넌 내곁에 없는데 혼자 뭘 어째 아무것도 할 수 없는 난데  *밥도 잘 먹지못해 니가 생각날까봐 니 생각에 체할까봐 니가 떠난후로 오늘도 눈물로 하루를 먹고 살아 버스도 타지못해 누가 날 욕할까봐 우는 날 놀려댈까봐 아무것도 못해 너없인 나혼자 살지못해  너 없이 웃는것도 난 못해 너 없이 걷는것도 난 못해 아무것도 아무것도 못해  내겐 니 사랑이 필요해 혼자 살아서 뭐해 니가 더 잘알잖아 너없인 나 안되잖아 너밖에 몰라서 너없인 밥조차 먹지못하는 난데  차마 죽지도 못해 니가돌아올까봐 언젠간 날 찾을까봐 아무것도못해 오늘도 내일도 너만 원해
20100107	씨야, 다비치, 티아라	원더우먼	Female	댄스	8	K-Smith	조영수	MBK엔터테인먼트	여자들아 기죽지 마라 당당하게 외쳐라 남자들아 비켜라 여자들의 의리가 더 멋있잖아 사랑보다 강하잖아  사랑에 차여도 괜찮아 세상의 반은 남자이니까 그깟 이별쯤 그깟 눈물쯤 얼마든지 부딪쳐도 괜찮아  엣지있는 핸드백을 메고 제일 아끼는 예쁜 옷 입고 자주 가는 Bar에 모여 마티니 한잔을 마시는 거야  사랑은 유행가보다 더해 빠르게 변하잖아 사랑에 실패해도 우리들만 있으면 괜찮아  여자들아 기죽지 마라 당당하게 외쳐라 남자들아 비켜라 여자들의 의리가 더 멋있잖아 사랑보다 강하잖아  사랑에 차여도 괜찮아 세상의 반은 남자이니까 그깟 이별쯤 그깟 눈물쯤 얼마든지 부딪쳐도 괜찮아  Going to the movies Going to the zoo Going to the beach Going to the party 세련된 여자들의 Party 섹시한 여자들의 Story 스타일 있게 살아갈래 자유롭게 즐겨볼래 Uh  사랑한 기억 모두 없애고 가슴에 추억들을 지우고 시간이 흐르는 대로 바쁜 생활을 넌 즐기는 거야  언젠가 세월이 흐른 뒤에 지금을 생각하면 우리 함께 웃으며 얘기 할 수 있을지도 몰라  여자들아 기죽지 마라 당당하게 외쳐라 남자들아 비켜라 여자들의 의리가 더 멋있잖아 사랑보다 강하잖아  사랑에 차여도 괜찮아 세상의 반은 남자이니까 그깟 이별쯤 그깟 눈물쯤 얼마든지 부딪쳐도 괜찮아  바보 같은 짓이야 쓸데없는 일이야 이별이 뭐 대수니 이제 더 이상 눈물 따윈 아껴둬 웃을 날이 더 많잖아  미치도록 너를 즐겨봐 세상 앞에 널 구속하지마 생각한대로 맘 가는대로 너를 위해 사는 거야 널 위해  Pretty sweet hot girl Pretty sweet hot girl 이제는 차가운 눈물 씻고 널 위해 화장을 하고 니 삶을 즐겨볼래 Pretty girl Pretty girl
20100121	2AM	I Love You	Male	발라드	23	방시혁, 백찬	방시혁, Pdogg	JYP Entertainment	보고도 내가 뭘 보 보 보는지 들어도 내가 뭘 드 드 듣는지 알아도 내가 뭘 아 아 아는지 몰랐어 장님이 코-끼리를 만지듯 우물안 개-구리 바다(를) 알듯 여우가 두-루미 접시(를) 주듯 알았어  밀리면 절대 안 된다는 바보같은 생각 (생각 생각) 당기면 절대 끌려가지 않겠다는 생각 (생각 생각) 사 사 사 사랑은 그런게 아 아 아 절대 아 아 아닌데 바 바 바 바보 가 같았어 난 난 난 난  I Love you (Love you) I want you (Want you) I need you (Need you) 'Cause I choose you (Choose you) 이제야 가슴에서 하는 말 너를 만나고야 배운 말 lo~ love you (Love you) I nee~ need you (Need you) Baby my lady I should've known this already  조금 늦었지만 알았어 이제 No way 난 못해 이제는 상상도 난 못해 니가 없이 살아간단건 이제  밀리면 절대 안 된다는 바보같은 생각 (생각 생각) 당기면 절대 끌려가지 않겠다는 생각 (생각 생각) 사 사 사 사랑은 그런게 아 아 아 절대 아 아 아닌데 바 바 바 바보 가 같았어 난 난 난 난  I Love you (Love you) I want you (Want you) I need you (Need you) 'Cause I choose you (Choose you) 이제야 가슴에서 하는 말 너를 만나고야 배운 말 lo~ love you (Love you) I nee~ need you (Need you)  Oh, Yeah 밀당은 피곤해 욕심을 비워내 잔머리 사랑보단 헌신을 지원해 책으로 찍어낸 모든 행동 지침엔 쓸모없는게 많아 마음이 젤 중요해 계산만 하던 내가 바꿨네 너한테 주는게 다 안 아깝네 아까 말했는데 또 말하고 싶네 잘 들어줘 한 번 더 말할게  I Love you (Love you) I want you (Want you) I need you (Need you) 'Cause I choose you (Choose you) 이제야 가슴에서 하는 말 너를 만나고야 배운 말 lo~ love you (Love you) I nee~ need you (Need you)  I Love you (Love you) I want you (Want you) I need you (Need you) 'Cause I choose you (Choose you) 이제야 가슴에서 하는 말 너를 만나고야 배운 말 Love~
20100128	소녀시대	별별별	Female	발라드	4	이트라이브	이트라이브	SM Entertainment	(하나 둘 셋 또 하나 둘 셋 미치겠다 별들아)  아무리 쳐다봐도 니가 보이질 않아 oh baby 두 눈에 가득 고인 눈물 때문에 다 너 때문에 번져진 글자 위로 비친 우는 내 얼굴 oh baby 또 울지 말라고 날 다짐해봐도 또 울어  나 어떡해 (몰라 어떡해 어떡해) 나 이렇게 (몰라 미치게 이렇게) 다 너 땜에 (정말 너 땜에) 나 아무것도 할 수 없잖아 난 널  *별별별 별만큼 사랑해 왔던거야 너를 찾아 저 멀리서 넌 Shining star 별별별 별말을 다 해봐도 표현이 안돼 정말 너무나 답답해 이제 난 어떻게 해야 하나  하나 둘 세어 봐도 끝이 보이질 않아 oh baby 가슴에 가득 담긴 추억 때문에 또 니 생각에 못 다한 얘길 꺼내 혼잣말뿐 이라도 oh baby 널 돌려달라고 날 보내달라고 니 곁에  꼭 부탁해 (제발 이렇게 부탁해) 꼭 하늘에 (나의 기도를 하늘에) 날 위로해 (나를 위로해) 준다는 넌 어디에 있니 제발  별별별 별들아 말해봐 끝난거니 그런거니 대답해봐 웃지만 말고 별별별 별들아 부탁해 단 한번만이라도 날 내 사랑 니 곁에 날아갈 수 있게 해줘  Star Star Star Uh~Baby Star Star Star Ahh~  난 널 별별별 별만큼 사랑해 왔던거야 너를 찾아 저 멀리서 넌 Shining star 별별별 별말을 다 해봐도 표현이 안돼 정말 너무나 답답해 이제 난 어떻게 해야 하나
20100105	포미닛	Dreams Come True	Female	댄스	35	김동현	김동현	큐브엔터테인먼트	hey boys and girls Don`t give up baby you know? Oh Oh Dreams Come True ye Oh Oh Oh 자신을 믿어봐 하나 둘 이뤄질 꿈을 향해 날아봐 Oh Oh Oh 가슴을 열어봐 하늘을 향해 힘껏 소리쳐 봐  세상이란 틀 속에 발 못맞춰 나 혼자만 언제나 종종걸음 친  잃어버린 내 꿈들은 어디로 사라지고 난 지금 무얼 하는지   두손모아 간절히 기도한 꿈 많았던 아이는 잃어버린 날개를 찾아 시간속을 헤매네  거센 비바람 뒤에 떠오르는 저 무지개는 (널 향해 소리쳐) 힘든 시련을 이겨낸 시간의 선물인거야 It's all for you  하늘에 붉게 수 놓은 듯한 저녁 노을은 꿈 하나에 모든 걸 태울 수 있던 너 자신인거야 어두운 밤하늘도 이렇게 아름다운건 은은한 별빛으로 하나 둘 수 놓아지기 때문이야  다시 일어서 내게 포기란 없어 달려갈거야 we run & run  달빛을 향해 기도하던 어린꼬마의 간절한 바램이 모두 이뤄지기를 잊었던 기억속에 시간을 꺼내봐 널 기다리던 꿈이 환한 미소로 반겨 no 아직 늦지 않았어 놓지마 step by step 다가가고 있는걸 니 뒤에 감춰둔 날개를 이제 보여줘 누구보다 높이 높이 날아갈거야  가슴속에 감춰두었던 너의 하얀날개를 (널 향해 소리쳐) 타오르는 저 태양을 향해 힘껏 펼쳐봐 (It`s all for you)  느껴봐 머릿칼 사이로 스치는 시원한바람 난 달려가 잃었던 어린 내 모습을 안아줄거야 날아봐 하얗게 날 비추는 달빛을 향해 너를 가둔 시간은 다시 찾은 너의 날갯짓 속에 사라질꺼야  다시일어서 내게 포기란 없어 달려갈거야 we a run & run  거센 비바람 뒤에 떠오르는 저 무지개는 (널 향해 소리쳐) 힘든 시련을 이겨낸 시간에 선물인거야 (It`s all for you)  하늘에 붉게 수 놓은 듯한 저녁 노을은 꿈 하나에 모든걸 태울 수 있던 너 자신인거야 어두운 밤하늘도 이렇게 아름다운건 은은한 별빛으로 하나 둘 수 놓아지기 때문이야  Oh Oh ye Yes baby one more time Oh Oh ye that`s right uh uh yeah
